Date,Blocks,Output_Satoshis
2016-08-12,571788,192449213278677
2016-08-13,537632,204909291864336
2016-08-14,533825,171656943644686
2016-08-15,502906,207713022974418
2016-08-16,610164,273195830621631
2016-08-17,586189,199980795612005
2016-08-18,579453,232779280487518
2016-08-19,579118,237704779111283
2016-08-20,554586,209722339722782
2016-08-21,501182,133890957673910
2016-08-22,577213,198474067919830
2016-08-23,564904,209078599723595
2016-08-24,588707,209871258072258
2016-08-25,572897,213280399048354
2016-08-26,548157,209278060537505
2016-08-27,504624,146456162205711
2016-08-28,459081,130222163494112
2016-08-29,534141,171422063370491
2016-08-30,630684,181469481156346
2016-08-31,540030,177755792231963
2016-09-01,554194,178367809397104
2016-09-02,544877,159513429340229
2016-09-03,476950,130842492080702
2016-09-04,484399,116063275421504
2016-09-05,595479,171368150703508
2016-09-06,610183,160089341987835
2016-09-07,594762,160374119003796
2016-09-08,564521,162688030093212
2016-09-09,529153,175092290957102
2016-09-10,485393,147803497617189
2016-09-11,498935,150661998466324
2016-09-12,543681,167225849155227
2016-09-13,573088,198190752996849
2016-09-14,548451,189761661809998
2016-09-15,560153,156454018509611
2016-09-16,504097,188095209103412
2016-09-17,550478,147550956483543
2016-09-18,504440,162646670879886
2016-09-19,549694,207470800794685
2016-09-20,598087,226856727211901
2016-09-21,586525,186749460631729
2016-09-22,544570,232667402803470
2016-09-23,525433,225337747809898
2016-09-24,510540,201918495092598
2016-09-25,511970,185182656692238
2016-09-26,576282,227815560187445
2016-09-27,583893,173765031426221
2016-09-28,582015,254568905698079
2016-09-29,599720,183885192448833
2016-09-30,607387,246431241000339
2016-10-01,536521,153612418253851
2016-10-02,489805,142039518081810
2016-10-03,671125,199272740504124
2016-10-04,652938,190679115251349
2016-10-05,650902,230284329977647
2016-10-06,712317,229172500663057
2016-10-07,647542,236816659961457
2016-10-08,623627,237697588288046
2016-10-09,553859,269821213166017
2016-10-10,533735,258591732208802
2016-10-11,643322,286403924135101
2016-10-12,593487,269114930440773
2016-10-13,578990,208816119223908
2016-10-14,640423,202140906019789
2016-10-15,562826,340810566958182
2016-10-16,502543,246111597557144
2016-10-17,561226,188707093736659
2016-10-18,610949,250910868066043
2016-10-19,456946,193792586409969
